country,country_code,year,region,rank_stat_ind,stat_ind,rank_dem_stat,dem_stat,stateness,monopoly,identity,no_dogmas,admin,pol_part,elect,power,assembly,express,ruleoflaw,separation,judiciary,prosecution,civ_rights,stab_dem,perf_dem,com_dem,integ,party_sys,int_group,approv_dem,soc_cap,rank_econ_stat,econ_stat,level_development,barriers,market,compet,anti_monop,for_trade,bank,stab_econ,infl,macro_stab,priv_prop,prop_rights,priv_ent,welfare,safety_nets,equal,perf_econ,output,sustain,envir,edu,rank_gov_ind,gov_ind,level_diff,constr,civil_trad,conflict_intens,GNI,UN_edu,state_rol,gov_perf,steering,priority,implement,learning,efficiency,assets,coord,anti_corrupt,consens,goals,veto,cleavage,civil_part,recon,int_coop,use_support,cred,reg_coop,trend_dem,trend_econ,trend_gov,core_stateness,state_failure,pol_sys,cat_stat_ind,cat_dem_stat,cat_trend_dem,cat_econ_stat,cat_trend_econ,cat_gov_ind,cat_trend_gov,cat_level_diff,stateness_cat,pol_part_cat,ruleoflaw_cat,stab_dem_cat,integ_cat,level_development_cat,market_cat,stab_econ_cat,priv_prop_cat,welfare_cat,perf_econ_cat,sustain_cat,level_diff_cat,steering_cat,efficiency_cat,consens_cat,int_coop_cat
"Afghanistan","AFG",2006,"Asia and Oceania",112,3.019048,109,2.966667,3,2,6,2,2,4.25,4,3,6,4,2.25,3,1,3,2,3,3,3,2.3333333,2,1,,4,111,3.071429,1,1,3.5,2,1,9,2,5,5,5,6,2,10,1,1,1,4,4,1,1,1,68,4.6212963,9.5625,10,10,9,10,10,8.375,4.666667,4.3333333,4,4,5,2.3333333,4,2,1,4,3,5,4,4,4,8,10,7,7,,,,2,"Failing state","autocracy","Failed or nonexistent","Hard-line autocracy",,"Poorly functioning",,"Moderate",,"Massive constraints","Flawed","Flawed","Poor","Flawed","Poor","Poor","Flawed","Fair","Fair","Poor","Flawed","Poor","Excellent","Flawed","Poor","Flawed","Sound"
"Afghanistan","AFG",2008,"Asia and Oceania",120,3.136905,108,3.416667,3.25,2,6,3,2,4.75,6,3,6,4,3.75,5,4,3,3,3,3,3,2.3333333,2,1,,4,119,2.857143,1,1,3,3,2,5,2,4.5,5,4,3.5,2,5,1.5,1,2,5,5,1.5,2,1,89,4.4416667,9.4166667,10,10,9,10,10,7.5,4.5,4.3333333,4,4,5,2.3333333,3,3,1,4,3,4,4,4,5,7.3333333,8,7,7,.45,-.21,-.16666651,2,"Failing state","autocracy","Failed or nonexistent","Hard-line autocracy","No significant changes","Rudimentary","No significant changes","Moderate","No significant changes","Massive constraints","Flawed","Fair","Flawed","Flawed","Poor","Poor","Flawed","Fair","Flawed","Poor","Fair","Poor","Excellent","Flawed","Poor","Flawed","Sound"
"Afghanistan","AFG",2010,"Asia and Oceania",124,2.810714,123,2.8,2.75,1,6,3,1,4,6,2,4,4,2.25,3,2,2,2,3,3,3,2,2,2,,2,122,2.821429,1,1,2.75,3,2,3,3,4.5,5,4,3.5,2,5,1.5,1,2,5,5,1.5,2,1,105,3.6794444,9.75,10,10,10,10,10,8.5,3.7,3,3,3,3,2,2,3,1,3.8,3,4,4,3,5,6,6,6,6,-.62,-.04,-.79999995,1,"Failing state","autocracy","Failed or nonexistent","Hard-line autocracy","Deterioration","Rudimentary","No significant changes","Weak","Deterioration","Massive constraints","Flawed","Flawed","Poor","Flawed","Poor","Poor","Flawed","Fair","Flawed","Poor","Fair","Poor","Excellent","Flawed","Poor","Flawed","Fair"
"Afghanistan","AFG",2012,"Asia and Oceania",124,2.821429,124,2.75,3.25,2,6,3,2,3.25,3,2,4,4,2.25,3,2,2,2,3,3,3,2,2,2,,2,122,2.892857,1,1,2.75,3,2,3,3,5,6,4,3.5,2,5,1.5,1,2,5,5,1.5,2,1,108,3.377963,9.7083333,10,10,10,10,10,8.25,3.4,3,3,3,3,2,2,3,1,3.6,3,3,4,3,5,5,6,3,6,-.05,.07,-.29999995,2,"Failing state","autocracy","Failed or nonexistent","Hard-line autocracy","No significant changes","Rudimentary","No significant changes","Weak","No significant changes","Massive constraints","Flawed","Flawed","Poor","Flawed","Poor","Poor","Flawed","Fair","Flawed","Poor","Fair","Poor","Excellent","Flawed","Poor","Flawed","Fair"
"Afghanistan","AFG",2014,"Asia and Oceania",122,2.965476,120,2.966667,3.5,3,6,3,2,3.25,3,2,4,4,2.75,4,3,2,2,3,3,3,2.3333333,2,3,,2,120,2.964286,1,1,2.75,3,2,3,3,5,6,4,3.5,2,5,1.5,1,2,5,5,2,2,2,115,3.3027623,9.1458333,10,10,9,9,9,7.875,3.366667,3,3,3,3,2,2,3,1,3.8,3,4,4,3,5,4.6666667,5,3,6,.22,.07,-.0333333,2.5,"Failing state","autocracy","Failed or nonexistent","Hard-line autocracy","No significant changes","Rudimentary","No significant changes","Weak","No significant changes","Massive constraints","Flawed","Flawed","Flawed","Flawed","Poor","Poor","Flawed","Fair","Flawed","Poor","Fair","Poor","Excellent","Flawed","Poor","Flawed","Fair"
"Afghanistan","AFG",2016,"Asia and Oceania",120,2.954762,117,3.016667,3.75,3,6,3,3,3.5,3,3,4,4,2.5,3,3,2,2,3,3,3,2.3333333,2,3,,2,119,2.892857,1,1,2.75,3,2,3,3,5,6,4,3,2,4,2,2,2,4,4,2.5,3,2,98,3.8750231,9.1458333,10,10,9,9,9,7.875,3.95,4,5,3,4,2.6666667,2,3,3,3.8,3,4,4,4,4,5.3333333,5,4,7,.05,-.07,.58333325,3,"Stable state","autocracy","Failed or nonexistent","Hard-line autocracy","No significant changes","Rudimentary","No significant changes","Weak","Improvement","Massive constraints","Flawed","Flawed","Flawed","Flawed","Poor","Poor","Flawed","Fair","Flawed","Poor","Flawed","Flawed","Excellent","Flawed","Flawed","Flawed","Fair"
"Afghanistan","AFG",2018,"Asia and Oceania",121,2.954762,114,3.016667,3.75,2,6,3,4,3.5,3,3,4,4,2.5,3,3,2,2,3,3,3,2.3333333,2,3,,2,118,2.892857,1,1,2.75,2,2,4,3,4,4,4,3.5,2,5,2.5,2,3,4,4,2.5,3,2,91,4.0232793,8.9791667,10,10,9,9,8,7.875,4.116667,4.3333333,5,3,5,2.6666667,3,3,2,3.8,3,4,4,4,4,5.6666667,6,4,7,0,0,.16666675,3,"Stable state","autocracy","Failed or nonexistent","Hard-line autocracy","No significant changes","Rudimentary","No significant changes","Weak","No significant changes","Massive constraints","Flawed","Flawed","Flawed","Flawed","Poor","Poor","Flawed","Flawed","Flawed","Flawed","Flawed","Flawed","Excellent","Flawed","Flawed","Flawed","Fair"
"Albania","ALB",2006,"East-Central and Southeast Europe",37,6.607143,36,7.25,8,7,9,10,6,8,6,8,9,9,5.5,5,5,4,8,7.5,6,9,7.25,7,7,8,7,47,5.964286,5,5,6.25,4,5,9,7,8,8,8,6,6,6,5.5,5,6,7,7,4,4,4,47,5.3166667,4.875,7,7,2,7,2,4.25,6.016667,5.6666667,6,6,5,4.3333333,4,5,4,6.4,9,7,5,6,5,7.6666667,7,6,10,,,,6.5,"Stable state","democracy","Limited","Defective democracy",,"Functional flaws",,"Moderate",,"Moderate","Sound","Sound","Fair","Sound","Sound","Fair","Fair","Sound","Fair","Fair","Sound","Flawed","Fair","Fair","Flawed","Fair","Sound"
"Albania","ALB",2008,"East-Central and Southeast Europe",33,7.071428,32,7.5,8.5,8,9,10,7,8.25,8,8,9,8,6.25,7,5,5,8,8,7,9,6.5,6,6,8,6,40,6.642857,6,6,7.5,6,7,10,7,8.5,9,8,6.5,6,7,6,6,6,7,7,5,5,5,45,5.5796759,4.4375,6,7,2,6,2,3.625,6.366667,6.3333333,7,6,6,4.6666667,4,6,4,6.8,9,7,5,7,6,7.6666667,7,7,9,.25,.68,.3499999,7.5,"Stable state","democracy","Advanced","Defective democracy","No significant changes","Functional flaws","Improvement","Moderate","No significant changes","Minor","Excellent","Sound","Fair","Sound","Sound","Fair","Sound","Excellent","Sound","Fair","Sound","Fair","Fair","Fair","Fair","Sound","Sound"
"Albania","ALB",2010,"East-Central and Southeast Europe",30,7.167857,32,7.55,8.75,9,9,10,7,8.25,8,8,9,8,6.25,7,5,5,8,8,7,9,6.5,6,6,8,6,33,6.785714,6,6,7.5,6,7,10,7,8.5,9,8,7.5,7,8,6,6,6,7,7,5,5,5,38,5.8541049,4.4166667,6,7,2,6,2,3.5,6.683333,6.3333333,7,6,6,4.6666667,4,6,4,7.4,10,8,6,7,6,8.3333333,8,8,9,.05,.14,.3166666,8,"Stable state","democracy","Advanced","Defective democracy","No significant changes","Functional flaws","No significant changes","Good","No significant changes","Minor","Excellent","Sound","Fair","Sound","Sound","Fair","Sound","Excellent","Sound","Fair","Sound","Fair","Flawed","Fair","Fair","Sound","Sound"
